Reviewer,Paper name,URL,Conference,Year,DHS funding,Origin,Description,Public?,In IMPACT / PREDICT?,Data link,Research or Industry?,Main Category,Sub Category,Note,citeNum
Hannah,"Lost in Space: Improving Inference ofIPv4 Address Space Utilization",http://www.caida.org/publications/papers/2014/lost_in_space/lost_in_space.pdf,N/A,2014,No,Existing,"dataset compiled by Geoff Huston, which merges the extended delegation files from the 5 RIRs with IANA_验s published registries, ",Public,No,http://bgp.potaroo.net/stats/nro/archive/delegated-nro-extended-20131001,Industry,Macro-level Internet Characteristics,Network Traces,,6
Hannah,"Lost in Space: Improving Inference ofIPv4 Address Space Utilization",http://www.caida.org/publications/papers/2014/lost_in_space/lost_in_space.pdf,N/A,2014,No,Existing,"BGP announcements captured by all collectors (24 collectors peering with 184 peers) of the RIPE RIS project,",Public,No,http://www.ripe.net/ris/,Industry,Macro-level Internet Characteristics,Network Traces,,6
Hannah,"Lost in Space: Improving Inference ofIPv4 Address Space Utilization",http://www.caida.org/publications/papers/2014/lost_in_space/lost_in_space.pdf,N/A,2014,No,Existing,"Project Sonar_验s HTTP (TCP port 80) scan of the entire IPv4 address space on October 29, 2013",Public,No,"https://community.rapid7.com/community/infosec/sonar/blog",Industry,Macro-level Internet Characteristics,Network Traces,,6
Hannah,"Lost in Space: Improving Inference ofIPv4 Address Space Utilization",http://www.caida.org/publications/papers/2014/lost_in_space/lost_in_space.pdf,N/A,2014,No,Existing,geolocated each /24 block using Digital Element_验s NetAcuity  Edge  database  from  6  July  2013,Public,No,http://www.digital-element.net/ip_intelligence/ip_intelligence.html,Industry,Macro-level Internet Characteristics,Network Traces,,6
Hannah,"Lost in Space: Improving Inference ofIPv4 Address Space Utilization",http://www.caida.org/publications/papers/2014/lost_in_space/lost_in_space.pdf,N/A,2014,No,Existing,"ISI Internet Census dataset it55w20130723,",Public,DS-402,http://www.isi.edu/ant/traces/internet_address_census_it55w-20130723.README.txt,Industry,Macro-level Internet Characteristics,Network Traces,,6
Hannah,"Lost in Space: Improving Inference ofIPv4 Address Space Utilization",http://www.caida.org/publications/papers/2014/lost_in_space/lost_in_space.pdf,N/A,2014,No,Existing,ICMP traceroutes performed by CAIDA_验s Archipelago to each /24 in the routed IPv4 address  space  between  July  and  September  2013,Public,DS-198,http://www.caida.org/data/active/ipv4_routed_24_topology_dataset.xml,Industry,Macro-level Internet Characteristics,Network Traces,,6
Hannah,Metric tree-like structures in real-life networks: an empirical study,https://arxiv.org/pdf/1402.3364.pdf,N/A,2016,No,Existing,"EPA,",Public,No,http://www.cs.cornell.edu/courses/cs685/2002fa/,Industry,Macro-level Internet Characteristics,Network Traces,,32
Hannah,Metric tree-like structures in real-life networks: an empirical study,https://arxiv.org/pdf/1402.3364.pdf,N/A,2016,No,Existing,"California,",Public,No,http://www.cs.cornell.edu/courses/cs685/2002fa/,Industry,Macro-level Internet Characteristics,Network Traces,,32
Hannah,Metric tree-like structures in real-life networks: an empirical study,https://arxiv.org/pdf/1402.3364.pdf,N/A,2016,No,Existing,"Routeview,",Public,No,http://www.routeviews.org/,Industry,Macro-level Internet Characteristics,Network Traces,,32
Hannah,Metric tree-like structures in real-life networks: an empirical study,https://arxiv.org/pdf/1402.3364.pdf,N/A,2016,No,Existing,"AS_Caida,",Public,No,http://www.caida.org/data/internet-topology-data-kit/,Industry,Macro-level Internet Characteristics,Network Traces,,32
Hannah,Metric tree-like structures in real-life networks: an empirical study,https://arxiv.org/pdf/1402.3364.pdf,N/A,2016,No,Existing,"Dimes 3/2010,",Public,No,http://www.netdimes.org/new/,Industry,Macro-level Internet Characteristics,Network Traces,,32
Hannah,A Comparison of Traffic from the DNS Root Nameservers as Measured in DITL 2006 and 2007,https://www.caida.org/research/dns/roottraffic/comparison06_07.xml,N/A,2007,No,Existing,Backscatter-2006,Public,DS-387,https://www.impactcybertrust.org/dataset_view?idDataset=387,Research,Macro-level Internet Characteristics,Network Traces,,68
Hannah,A Comparison of Traffic from the DNS Root Nameservers as Measured in DITL 2006 and 2007,https://www.caida.org/research/dns/roottraffic/comparison06_07.xml,N/A,2007,No,Existing,Backscatter-2007,Public,DS-388,https://www.impactcybertrust.org/dataset_view?idDataset=388,Research,Macro-level Internet Characteristics,Network Traces,,68
Hannah,Router-level community structure of the Internet Autonomous Systems,http://epjdatascience.springeropen.com/articles/10.1140/epjds/s13688-015-0048-y,N/A,2015,No,Existing,"CAIDA router-level Internet map from October 19th, 2011",Public,DS-205,http://www.caida.org/data/active/ipv4_routed_24_topology_dataset.xml,Industry,Macro-level Internet Characteristics,Topology,,0
Hannah,A Novel Methodology of Router-To-AS Mapping inspired by Community Discovery,https://arxiv.org/ftp/arxiv/papers/1512/1512.03916.pdf,N/A,2015,No,Existing,PeeringDB,Public,No,https://www.peeringdb.com/help/public_faq.php,Industry,Macro-level Internet Characteristics,Topology,,0
Hannah,A Novel Methodology of Router-To-AS Mapping inspired by Community Discovery,https://arxiv.org/ftp/arxiv/papers/1512/1512.03916.pdf,N/A,2015,No,Existing,CAIDA ITDK Macroscopic Internet Topology Data Kit,Public,Yes                       DS-305,"http://data.caida.org/datasets/topology/ark/ipv4/itdk/2012",Industry,Macro-level Internet Characteristics,Topology,,0
Hannah,Evidence of spatial embedding in the IPv4 router-level Internet network,https://arxiv.org/pdf/1410.3340v1.pdf,N/A,2014,No,Existing,"Internet Topology Data Kit,  ",Public,DS-454,http://www.caida.org/data/Internet-topology-data-kit,Industry,Macro-level Internet Characteristics,Topology,,0
Hannah,On Measuring the Geographic Diversity of Internet Routes,https://arxiv.org/pdf/1601.01116v1.pdf,N/A,2016,No,Existing,CAIDA's ITDK kit,Public,Yes,http://www.caida.org/data/internet-topology-data-kit,Industry,Macro-level Internet Characteristics,Topology,,0
Hannah,"Lost in Space: Improving Inference ofIPv4 Address Space Utilization",http://www.caida.org/publications/papers/2014/lost_in_space/lost_in_space.pdf,N/A,2014,No,Existing,"establish a mapping from /24 block to ASN, we merged all CAIDA_验s Routeviews Prefix to AS mappings files for July 2013",Public,No,http://www.caida.org/data/routing/routeviews-prefix2as.xml,Industry,Macro-level Internet Characteristics,Topology,,6
Hannah,"An Organization-Level View of the Internetand its Implications (extended)",https://www.isi.edu/~johnh/PAPERS/Cai12b.pdf,N/A,2012,Yes,Existing,as_to_org_mapping-20101019,Public,DS-278,https://www.impactcybertrust.org/dataset_view?idDataset=278,Research,Macro-level Internet Characteristics,Topology,,7
Hannah,"An Organization-Level View of the Internetand its Implications (extended)",https://www.isi.edu/~johnh/PAPERS/Cai12b.pdf,N/A,2012,Yes,Existing,as_to_org_mapping_subsidiary_linkage-20101019,Public,DS-304,https://www.impactcybertrust.org/dataset_view?idDataset=304,Research,Macro-level Internet Characteristics,Topology,,7
Hannah,Metric tree-like structures in real-life networks: an empirical study,https://arxiv.org/pdf/1402.3364.pdf,N/A,2016,No,Existing,"Aqualab,",Public,No,http://www.aqualab.cs.northwestern.edu/projects,Industry,Macro-level Internet Characteristics,Topology,,32
Hannah,Metric tree-like structures in real-life networks: an empirical study,https://arxiv.org/pdf/1402.3364.pdf,N/A,2016,No,Existing,"Itdk,",Public,No,http://www.caida.org/data/as-relationships/,Industry,Macro-level Internet Characteristics,Topology,,32
Hannah,Evidence of spatial embedding in the IPv4 router-level Internet network,https://arxiv.org/pdf/1410.3340v1.pdf,N/A,2014,No,Existing,geolocation acquired from the MaxMind Geolite database for a subset of the routers to varying levels of precision ,Public,No,/,Industry,Users & Organizations Characteristics,User Activities,,0
Hannah,Metric tree-like structures in real-life networks: an empirical study,https://arxiv.org/pdf/1402.3364.pdf,N/A,2016,No,Existing,"DutchElite,",Public,No,http://vlado.fmf.uni-lj.si/pub/networks/data/2mode/DutchElite.htm,Industry,Users & Organizations Characteristics,User Information,,32
Hannah,Metric tree-like structures in real-life networks: an empirical study,https://arxiv.org/pdf/1402.3364.pdf,N/A,2016,No,Existing,"EVA,",Public,No,http://vlado.fmf.uni-lj.si/pub/networks/data/econ/Eva/Eva.htm,Industry,Users & Organizations Characteristics,User Information,,32
Hannah,Metric tree-like structures in real-life networks: an empirical study,https://arxiv.org/pdf/1402.3364.pdf,N/A,2016,No,Existing,"Erdos,",Public,No,http://vlado.fmf.uni-lj.si/pub/networks/data/Erdos/Erdos02.net,Industry,Users & Organizations Characteristics,User Information,,32
Hannah,Metric tree-like structures in real-life networks: an empirical study,https://arxiv.org/pdf/1402.3364.pdf,N/A,2016,No,Existing,"DBLB-coauth,",Public,No,http://snap.stanford.edu/data/com-DBLP.html,Industry,Users & Organizations Characteristics,User Information,,32
Hannah,Predicting Users_验 Motivations behind Location Check-Ins and Utility Implications of Privacy Protection Mechanisms,http://www.shokri.org/files/Shokri-NDSS2015.pdf,NDSS,2015,No,Existing,Participants_验 actual check-ins on Foursquare posted over the last 24 months,No,No,/,Research,Users & Organizations Characteristics,User Activities,,18
Hannah,The Internet Motion Sensor: A Distributed Blackhole Monitoring System,http://web.eecs.umich.edu/~farnam/pubs/2005-bc-ndss.pdf,NDSS,2005,No,Create Primary,"One-week period of measurement, the IMS system observed over 286,000 unique IP addresses displaying the characteristics  of  Blaster  activity (Basically lots of their scans of their sensors from different date ranges were used)",No,No,/,Research,Macro-level Internet Characteristics,Topology,,321
Hannah,The Day After Patch Tuesday: Effects Observable in IP Darkspace Traffic,https://www.caida.org/publications/papers/2013/day_after_patch_tuesday/day_after_patch_tuesday.pdf,PAM 2013,2013,No,Existing,Patch Tuesday Dataset,Public,DS-381,https://www.impactcybertrust.org/dataset_view?idDataset=381,Research,Macro-level Internet Characteristics,Network Traces,,3
Hannah,Characterization of Blacklists and Tainted Network Traffic,http://mdbailey.ece.illinois.edu/publications/pam-2013.pdf,PAM 2013,2013,Yes,Existing,PAM13 dataset (Reputation Block Lists),Public,DS-325,https://www.impactcybertrust.org/dataset_view?idDataset=325,Research,Users & Organizations Characteristics,User Activities,,11
Hannah,"Measuring and Characterizing IPv6 RouterAvailability",http://www.caida.org/publications/papers/2015/measuring_characterizing_ipv6_router/measuring_characterizing_ipv6_router.pdf,Passive Active Network Workshop,2015,No,Existing,Trace routes conducted in January and February 2014 by CAIDA_验s macroscopic IPv6 topology discovery infrastructure,Public,No,http://www.caida.org/projects/ark/,Industry,Macro-level Internet Characteristics,Network Traces,,15
Hannah,Entropy-Based Characterization of Internet Background Radiation,http://www.mdpi.com/1099-4300/17/1/74/htm#b18-entropy-17-00074,SAM,2015,No,Create Primary,"Representative portion of the IBR for three weeks of April, 2012, with a 10-minute time scope",Public,DS-381,http://www.caida.org/data/passive/telescope-patch-tuesday_dataset.xml,Industry,Attacker Related,Attacks,,4
Hannah,Spectral Fractal Dimension Trajectory to Measure Cognitive Complexity of Malicious DNS Traffic,http://worldcomp-proceedings.com/proc/p2016/SAM3798.pdf,SAM,2016,No,Create Primary,Data set from our experiment in which a PCAP file is captured from a lab computer which is being used for browsing and software development for the cyber security project,No,No,/,Research,Users & Organizations Characteristics,User Activities,,0
Hannah,A polyscale autonomous sliding window for cognitive machine classification of malicious Internet traffic,https://www.researchgate.net/publication/293695267_A_polyscale_autonomous_sliding_window_for_cognitive_machine_classification_of_malicious_Internet_traffic,SAM,2015,No,Existing,"PREDICT ID USC-Lander/ DoS_DNS_amplification-20130617 (2013-06-17) to (2013-06-17)The PREDICT data set [26] was used toperform the analysis. This dataset contains 19 ERFcapture files with anonymized IPs. Moreover, the attackwas recorded for 10 minutes and the packets werecaptured for 32 minutes and 47 seconds",Public,PREDICT ID USC-Lander,/,Industry,Attacker Related,Attacks,,3
Hannah,Spectral Fractal Dimension Trajectory to Measure Cognitive Complexity of Malicious DNS Traffic,http://worldcomp-proceedings.com/proc/p2016/SAM3798.pdf,SAM,2016,No,Existing,Data set from CAIDA USA which contains internet traces from optical fiber internet connectivity from 2002 and 2003,Public,No,https://data.caida.org/datasets/oc48/oc48-original/,Industry,Macro-level Internet Characteristics,Network Traces,,0
Hannah,Spectral Fractal Dimension Trajectory to Measure Cognitive Complexity of Malicious DNS Traffic,http://worldcomp-proceedings.com/proc/p2016/SAM3798.pdf,SAM,2016,No,Existing,"Data set from PREDICT USA which contains  traces of a DNS distributed denial of service attack (DDOS), ",Public,USC-Lander,/,Industry,Macro-level Internet Characteristics,Network Traces,,0
Muwei,Analysis of the HTTPS Certificate Ecosystem,http://conferences.sigcomm.org/imc/2013/papers/imc257-durumericAemb.pdf,SIGCOMM,2013,Yes,Create Primary,"completed 110 exhaustive scans of the public IPv4 address space. we completed upwards of 400 billion SYN probes and 2.55 billion TLS handshakes, collecting and parsing 42.4 million unique X.509 certificates from 109 million hosts.",No,No,/,Research,Defender Artifacts,Configurations,,145
Muwei,Analysis of the HTTPS Certificate Ecosystem,http://conferences.sigcomm.org/imc/2013/papers/imc257-durumericAemb.pdf,SIGCOMM,2013,Yes,Create Derivative,"completed 110 exhaustive scans of the public IPv4 address space. we completed upwards of 400 billion SYN probes and 2.55 billion TLS handshakes, collecting and parsing 42.4 million unique X.509 certificates from 109 million hosts.",No,No,/,Research,Defender Artifacts,Configurations,,148
Hannah,Measuring IPv6 Adoption,http://web.engr.illinois.edu/~mdbailey/publications/sigcomm14_ipv6.pdf,SIGCOMM,2014,Yes,Existing,"CAIDA Ark Performance Data Dec 2008 _研 Dec 2013___10 million IPs probed daily,",Public,No,http://www.caida.org/projects/ark/,Industry,Macro-level Internet Characteristics,Benchmarks,,92
Hannah,Measuring IPv6 Adoption,http://web.engr.illinois.edu/~mdbailey/publications/sigcomm14_ipv6.pdf,SIGCOMM,2014,Yes,Existing,"Verisign TLD Packets: IPv4 Jun 2011 _研 Dec 2013 4 global sites, 5 of 13 gTLD NS letters (.com/.net),___4.5Bn queries,",No,No,/,Industry,Macro-level Internet Characteristics,Network Traces,,92
Hannah,Measuring IPv6 Adoption,http://web.engr.illinois.edu/~mdbailey/publications/sigcomm14_ipv6.pdf,SIGCOMM,2014,Yes,Existing,"Verisign TLD Packets: IPv6Jun 2011 _研 Dec 2013 15 global sites, both gTLD NS letters (.com/.net) w/IPv6, 647M queries,",No,No,/,Industry,Macro-level Internet Characteristics,Network Traces,,92
Hannah,Measuring IPv6 Adoption,http://web.engr.illinois.edu/~mdbailey/publications/sigcomm14_ipv6.pdf,SIGCOMM,2014,Yes,Existing,"Alexa Top Host Probing Apr 2011 _研 Dec 2013 10,000 servers probed twice/month",No,No,http://www.alexa.com/topsites,Industry,Macro-level Internet Characteristics,Network Traces,,92
Hannah,Measuring IPv6 Adoption,http://web.engr.illinois.edu/~mdbailey/publications/sigcomm14_ipv6.pdf,SIGCOMM,2014,Yes,Existing,"Google IPv6 Client Adoption Sep 2008 _研 Dec 2013 millions of daily global samples,",Public,No,https://www.google.com/intl/en/ipv6/statistics.html,Industry,Macro-level Internet Characteristics,Network Traces,,92
Hannah,Measuring IPv6 Adoption,http://web.engr.illinois.edu/~mdbailey/publications/sigcomm14_ipv6.pdf,SIGCOMM,2014,Yes,Existing," Verisign TLD Zone Files Apr 2007 _研 Jan 2014 daily snapshots of___2.5 million A+AAAA glue records (.com & .net), ",Public,No,/,Industry,Macro-level Internet Characteristics,Network Traces,,92
Hannah,Measuring IPv6 Adoption,http://web.engr.illinois.edu/~mdbailey/publications/sigcomm14_ipv6.pdf,SIGCOMM,2014,Yes,Existing,"Arbor Networks ISP Traffic Data Mar 2010 _研 Dec 2013___33-50% of global Internet traffic; 2013 daily median: 50 terabits/sec (avg.),",No,No,/,Industry,Macro-level Internet Characteristics,Network Traces,,92
Hannah,Measuring IPv6 Adoption,http://web.engr.illinois.edu/~mdbailey/publications/sigcomm14_ipv6.pdf,SIGCOMM,2014,Yes,Existing,"RIR Address Allocations Jan 2004 _研 Jan 2014___18K allocation snapshots (5 daily),",Public,No,/,Industry,Macro-level Internet Characteristics,Network Traces,,92
Hannah,Measuring IPv6 Adoption,http://web.engr.illinois.edu/~mdbailey/publications/sigcomm14_ipv6.pdf,SIGCOMM,2014,Yes,Existing, Routing: Route Views Jan 2004 _研 Jan 2014,Public,No,http://www.routeviews.org/,Industry,Macro-level Internet Characteristics,Topology,,92
Hannah,Measuring IPv6 Adoption,http://web.engr.illinois.edu/~mdbailey/publications/sigcomm14_ipv6.pdf,SIGCOMM,2014,Yes,Existing,"Routing: RIPE Jan 2004 _研 Jan 2014,",Public,No,https://www.ripe.net/analyse/internet-measurements/routing-information-service-ris/ris-raw-data,Industry,Macro-level Internet Characteristics,Topology,,92
Hannah,InterTubes: A Study of the US Long-haul Fiber-optic Infrastructure,http://pages.cs.wisc.edu/~pb/tubes_final.pdf,SIGCOMM,2015,Yes,Existing,US Long-haul Infrastructure Topology,Public,DS-521,https://www.impactcybertrust.org/dataset_view?idDataset=521,Research,Macro-level Internet Characteristics,Topology,,21
Muwei,Finding the Linchpins of the Dark Web: a Study on Topologically Dedicated Hosts on Malicious Web Infrastructures,http://dx.doi.org/10.1109/SP.2013.18,SP,2013,No,Create Derivative,"our approach detects about 5,000 new topologically dedicated malicious hosts and over 20,000 malicious host paths that are not captured by existing solutions",No,No,/,Research,Attacker Related,Attacks,,61
Muwei,Towards practical reactive security audit using extended static checkers,http://dx.doi.org/10.1109/SP.2013.12,SP,2013,No,Create Derivative,We identified around 70 vulnerabilities in critical software components using a build server equipped with 48 cores and 96GB of RAM to perform this analysis.,No,No,/,Research,Attacker Related,Vulnerabilities,,4
Muwei,Cookieless Monster: Exploring the Ecosystem of Web-based Device Fingerprinting,http://dx.doi.org/10.1109/SP.2013.43,SP,2013,No,Create Derivative,"we crawled up to 20 pages for each of the Alexa top 10,000 sites",No,No,/,Research,Macro-level Internet Characteristics,Applications,,216
Muwei,SoK: P2PWNED _暑 Modeling and Evaluating the Resilience of Peer-to-Peer Botnets,http://dx.doi.org/10.1109/SP.2013.17,SP,2013,No,Create Primary,"we implemented crawling and sensor injection attacks for all four active P2P bot- net families. In total, we enumerated eleven botnets that were active in November 2012. We chose a measurement period of 24 hours to account for diurnal patterns and to limit the effects of IP churn.",No,No,/,Research,Attacker Related,Attacks,,103
Muwei,PRIVEXEC: Private Execution as an Operating System Service,http://dx.doi.org/10.1109/SP.2013.24,SP,2013,No,Create Primary,"In this test, we visited 50 Wikipedia articles.",No,No,wikipedia.org,Research,Macro-level Internet Characteristics,Applications,,25
Muwei,PRIVEXEC: Private Execution as an Operating System Service,http://dx.doi.org/10.1109/SP.2013.24,SP,2013,No,Create Primary,"we navigated within the CNN web site by clicking on different news categories and articles. We cycled 5 times through 10 CNN pages with many embedded images, videos and Flash content in order to exercise the browser_蔩s cache.",No,No,/,Research,Macro-level Internet Characteristics,Applications,,25
Muwei,Finding the Linchpins of the Dark Web: a Study on Topologically Dedicated Hosts on Malicious Web Infrastructures,http://dx.doi.org/10.1109/SP.2013.18,SP,2013,No,Create Primary,We run Twitter Search APIs [29] to pick top 10 trending terms every day. We use these terms to collect related tweets and extract all the URLs they contain. This process gives us 1.6 million URLs,No,No,/,Research,Macro-level Internet Characteristics,Applications,,61
Muwei,Finding the Linchpins of the Dark Web: a Study on Topologically Dedicated Hosts on Malicious Web Infrastructures,http://dx.doi.org/10.1109/SP.2013.18,SP,2013,No,Create Primary,"We deploy 20 crawlers, each hosted on a separate Linux virtual machine with a distinctive IP address, to explore the URL redirection paths of these 5.5 million doorway URLs.",No,No,/,Research,Macro-level Internet Characteristics,Applications,,61
Muwei,"Trawling for Tor Hidden Services: Detection, Measurement, Deanonymization",http://dx.doi.org/10.1109/SP.2013.15,SP,2013,No,Create Primary,At the end of the experiment we collected 39824 unique onion addresses.,No,No,/,Research,Macro-level Internet Characteristics,Applications,,105
Muwei,Cookieless Monster: Exploring the Ecosystem of Web-based Device Fingerprinting,http://dx.doi.org/10.1109/SP.2013.43,SP,2013,No,Create Primary,"we used a list of 3,804 domains of sites that, when analyzed by Wepawet",No,No,/,Research,Macro-level Internet Characteristics,Applications,,216
Hannah,Analyzing Forged SSL Certificates in the Wild,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6956558,SP,2014,No,Create Primary,~6K websites with forged SSL certificates,No,No,/,Research,Defender Artifacts,Configurations,,81
Hannah,Analyzing Forged SSL Certificates in the Wild,http://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6956558,SP,2014,No,Create Primary,"3,447,719 real world SSL connections",No,No,/,Industry,Defender Artifacts,Configurations,,81
Muwei,Finding the Linchpins of the Dark Web: a Study on Topologically Dedicated Hosts on Malicious Web Infrastructures,http://dx.doi.org/10.1109/SP.2013.18,SP,2013,No,Existing,Microsoft provides us with around 30 million doorway URLs that were found to deliver malicious contents,No,No,/,Industry,Attacker Related,Attacks,,61
Muwei,Finding the Linchpins of the Dark Web: a Study on Topologically Dedicated Hosts on Malicious Web Infrastructures,http://dx.doi.org/10.1109/SP.2013.18,SP,2013,No,Existing,We download the malicious URL set posted by the WarningBird project [14]. This set includes over 300k suspicious URLs in Twitter spam.,Yes,No,WarningBird: Detecting suspicious URLs in Twitter stream,Research,Attacker Related,Attacks,,61
Muwei,Towards practical reactive security audit using extended static checkers,http://dx.doi.org/10.1109/SP.2013.12,SP,2013,No,Existing,The properties were derived by studying a set of security vulnerabilities reported in a set of recent MSRC bulletins,Yes,No,http://technet.microsoft.com/en- us/security/bulletin/,Industry,Attacker Related,Vulnerabilities,,4
Muwei,Finding the Linchpins of the Dark Web: a Study on Topologically Dedicated Hosts on Malicious Web Infrastructures,http://dx.doi.org/10.1109/SP.2013.18,SP,2013,No,Existing,EasyList sites,Yes,No,https://easylist.to/,Industry,Defender Artifacts,Configurations,,61
Muwei,PRIVEXEC: Private Execution as an Operating System Service,http://dx.doi.org/10.1109/SP.2013.24,SP,2013,No,Existing,Alexa top 50,Yes,No,alexa.com,Industry,Macro-level Internet Characteristics,Applications,,25
Muwei,PRIVEXEC: Private Execution as an Operating System Service,http://dx.doi.org/10.1109/SP.2013.24,SP,2013,No,Existing,"we selected the top 50 applications, excluding all non-free or Ubuntu-specific software.",Yes,No,/,Industry,Macro-level Internet Characteristics,Applications,,25
Muwei,A Scanner Darkly: Protecting User Privacy From Perceptual Applications,http://dx.doi.org/10.1109/SP.2013.31,SP,2013,No,Existing,We also experimentally estimated the entropy of sketches on a dataset of 30 frontal face images sampled from the Color FERET database,Yes,No,https://www.nist.gov/itl/iad/image-group/color-feret-database,Research,Macro-level Internet Characteristics,Applications,,59
Muwei,Finding the Linchpins of the Dark Web: a Study on Topologically Dedicated Hosts on Malicious Web Infrastructures,http://dx.doi.org/10.1109/SP.2013.18,SP,2013,No,Existing,"Alexa top 60,000 sites",Yes,No,alexa.com,Industry,Macro-level Internet Characteristics,Applications,,61
Muwei,Privacy-Preserving Ridge Regression on Hundreds of Millions of Records,http://dx.doi.org/10.1109/SP.2013.30,SP,2013,No,Existing,we ran our system on real datasets retrieved from the UCI repository [7]. The repository includes a set of 24 real-world datasets that are commonly used for evaluating various machine-learning algorithms.,Yes,No,http://archive.ics.uci.edu/ml/datasets.html,Research,Macro-level Internet Characteristics,Applications,,91
Muwei,Cookieless Monster: Exploring the Ecosystem of Web-based Device Fingerprinting,http://dx.doi.org/10.1109/SP.2013.43,SP,2013,No,Existing,"Alexa top 10,000 sites",Yes,No,alexa.com,Industry,Macro-level Internet Characteristics,Applications,,216
Muwei,Cookieless Monster: Exploring the Ecosystem of Web-based Device Fingerprinting,http://dx.doi.org/10.1109/SP.2013.43,SP,2013,No,Existing,"we ana- lyzed the fingerprinting libraries of three large, commercial companies",No,No,/,Research,Macro-level Internet Characteristics,Applications,,216
Hannah,Understanding Address Usage in the Visible Internet,http://www.isi.edu/~johnh/PAPERS/Cai09b.pdf,USC/ISI Technical Report,2009,No,Existing,"Internet ICMP surveys, 4.4M IP addresses probed the ping survey Nearly half of these (2.2M) have hostnames in the ISC reverse DNS survey",Public,DS-063,http://www.isi.edu/ant/lander,Industry,Macro-level Internet Characteristics,Network Traces,,4
Hannah,Understanding Address Usage in the Visible Internet,http://www.isi.edu/~johnh/PAPERS/Cai09b.pdf,USC/ISI Technical Report,2009,No,Existing,"Internet ICMP surveys, 4.4M IP addresses probed the ping survey Nearly half of these (2.2M) have hostnames in the ISC reverse DNS survey",Public,DS-037,http://www.isi.edu/ant/lander,Industry,Macro-level Internet Characteristics,Network Traces,,4
Muwei,A Comprehensive Measurement Study of Domain Generating Malware',https://www.usenix.org/conference/usenixsecurity16/technical-sessions/presentation/plohmann,USENIX,2016,No,Create Derivative,43 DGA based malware famillies and variants,Yes,No,https://dgarchive.caad.fkie.fraunhofer.de,Research,Attacker Related,Attacks,,6
Muwei,Understanding the Dark Side of Domain Parking,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/alrwais,USENIX,2014,No,Create Derivative,"Out of all the ad clicks delivered to our advertising websites through parking services, 709 were found to come from our own crawlers.",No,No,/,Research,Attacker Related,Attacks,,24
Muwei,Understanding the Dark Side of Domain Parking,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/alrwais,USENIX,2014,No,Create Derivative,"we launched received 306 traffic hits from our crawler through domains parked with parking services. Upon examining the parked domains that served as the start nodes on those monetization chains, we found that 83 of them were totally unrelated to the keywords we pur- chased from the direct traffic systems. Table 5 provides examples of spam and good-quality traffic.",No,No,/,Research,Attacker Related,Attacks,,24
Muwei,A Look at Targeted Attacks Through the Lense of an NGO,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/le-blond,USENIX,2014,No,Create Derivative,"In particular, we found 247 RAR and 49 ZIP containing malicious EXE",No,No,/,Research,Attacker Related,Attacks,,29
Muwei,A Look at Targeted Attacks Through the Lense of an NGO,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/le-blond,USENIX,2014,No,Create Derivative,Our analysis below was done on 689 malware samples that we extracted from malicious documents.,Yes,No,/,Research,Attacker Related,Attacks,,29
Muwei,Finding Unknown Malice in 10 Seconds: Mass Vetting for New Threats at the Google-Play Scale,https://www.usenix.org/conference/usenixsecurity15/technical-sessions/presentation/chen-kai,USENIX,2015,No,Create Derivative,"Over the 127,429 malicious apps detected in our study",No,No,/,Research,Attacker Related,Attacks,,65
Muwei,The Ever-Changing Labyrinth: A Large-Scale Analysis of Wildcard DNS Powered Blackhat SEO',https://www.usenix.org/conference/usenixsecurity16/technical-sessions/presentation/du,USENIX,2016,No,Create Derivative,"examined over 13 million domains under 22 TLDs/SLDs and discovered over 458K SEO domains. Finally, we measured the spider-pool ecosystem on top of these domains and analyzed the crawling results from 21 spider pools",No,No,/,Research,Attacker Related,Cybercrime Infrastructure,,4
Muwei,Understanding the Dark Side of Domain Parking,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/alrwais,USENIX,2014,No,Create Derivative,"Through infiltrating the start and end nodes of the ecosystem and crawling domains hosted by popular parking services, we were able to collect 1,015 mone- tization chains that link our crawlers to our end nodes (our advertising or traffic purchase websites), sometimes through our start nodes (parked domains).",No,No,/,Research,Attacker Related,Cybercrime Infrastructure,,24
Muwei,Vulnerability Disclosure in the Age of Social Media: Exploiting Twitter for Predicting Real-World Exploits,https://www.usenix.org/conference/usenixsecurity15/technical-sessions/presentation/sabottke,USENIX,2015,No,Create Derivative,"We collect data over a period of one year, from Febru- ary 2014 to January 2015. Out of the 1.1 billion tweets collected during this period, 287,717 contain explicit ref- erences to CVE IDs",No,No,/,Research,Attacker Related,Vulnerabilities,,18
Muwei,Password Managers: Attacks and Defenses.,https://www.usenix.org/conference/usenixsecurity14/technical-sessions/presentation/silver,USENIX,2014,No,Create Derivative,"we surveyed Alexa Top 500 sites (as of October 2013) by manually visiting them and examining their login procedures. Of the 500 sites surveyed, 408 had login forms. 71 of these 408 sites, or 17.40%, use HTTP for loading the login page, but HTTPS for sub- mitting it.",No,No,/,Research,Defender Artifacts,Configurations,,40
