Name,URL,Conf.,Year,Used,Description,Produced,Description
Accessorize to a Crime: Real and Stealthy Attacks on State-of-the-Art Face Recognition,https://dl.acm.org/authorize.cfm?key=N14451,ccs,2016,Yes,"roughly 1000 images per celebrity for training, for a total of about 2.6M images.",No,\
Lurking Malice in the Cloud: Understanding and Detecting Cloud Repository as a Malicious Service,https://dl.acm.org/authorize.cfm?key=N14452,ccs,2016,Yes,"Alexa top 3K websites, which are considered to be mostly clean, utilized two feeds as the ground truth for gathering bad cloud buckets: the Spamtrap feed and the CleanMX feed. The former comes from a Spam honeypot we constructed that receives around 10K Spam emails per day, from which cloud URLs promoted by the emails were extracted which may include spam resources such as HTML, images, and scripts. The latter includes the historical data of CleanMX, a popular domain scanning engine, from which cloud-related URLs were collected, Common Crawl, a public big data project that crawls about 5 billion webpages each month through a large-scale Hadoop-based crawler and maintains lists of the crawled websites and their embedded links, this unknown set contains HTTP traffic collected using a crawler to visit a list of websites, Once a URL is confirmed malicious, its corresponding bucket is labeled as bad.  Those unlabeled but flagged (by BarFinder) buckets are further validated manually",Yes,"BarFinder reported 730 suspicious repositories from 6885 cloud buckets over 20 cloud platforms. Among them, we utilized 694 confirmed Bars (through AV/blacklist scanning or manual validation, see Section 3.3) for the measurement study. These Bars were found to directly serve 156,608 domains"
Safely Measuring Tor,https://dl.acm.org/authorize.cfm?key=N14453,ccs,2016,Yes,We  collected  Tor  measurements in multiple rounds of different lengths,No,\
PREDATOR: Proactive Recognition and Elimination of Domain Abuse at Time-Of-Registration,https://dl.acm.org/authorize.cfm?key=N14454,ccs,2016,Yes,"We collect authoritative nameservers for the domains within five minutes of domain registrations (i.e., the epoch that we have defined) from the zone update files and map them to a set of binary features, where 1 means the nameserver resolves the domain, | We use the mapping dataset from iPlane to map the IP addresses to Autonomous System numbers,  equivalent registration times from the zone update data, and extract hour-of-the-day and day-of-the-week, | Our primary dataset consists of changes made to the .com zone, the largest TLD, for a five-month period, MarchäóñJuly 2012, | We also obtain the DNZA data of .net zone for five months, from October 2014 to February 2015, | exclusive blacklisted .com domains (i.e., not",No,\
,,,,,"reported by other feeds) on Spamhaus, | URIBL, and |  our spam trap number 24,015, 4,524, and 442 respectively",,
Stemming Downlink Leakage from Training Sequences in Multi-User MIMO Networks,https://dl.acm.org/authorize.cfm?key=N14465,ccs,2016,No,\,No,\
A Protocol for Privately Reporting Ad Impressions at Scale,https://dl.acm.org/authorize.cfm?key=N14466,ccs,2016,No,\,No,\
Secure Stable Matching at Scale,https://dl.acm.org/authorize.cfm?key=N14467,ccs,2016,Yes,dataset designed to model the 2016 national medical residency match,No,\
BeleniosRF: A Non-interactive Receipt-Free Electronic Voting Scheme,https://dl.acm.org/authorize.cfm?key=N14468,ccs,2016,No,\,No,\
ECDSA Key Extraction from Mobile Devices via Nonintrusive Physical Side Channels,https://dl.acm.org/authorize.cfm?key=N14469,ccs,2016,Yes, leakage of 5000 OpenSSL ECDSA signatures executed on an iPhone 3GS,No,\
äóìMake Sure DSA Signing Exponentiations Really are Constant-Time,https://dl.acm.org/authorize.cfm?key=N14460,ccs,2016,Yes,collect 580 SM sequences from TLS handshakes and 260 from SSH,No,\
On the Provable Security of (EC)DSA Signatures,https://dl.acm.org/authorize.cfm?key=N14461,ccs,2016,No,\,No,\
Android ION Hazard: the Curse of Customizable Memory Management System,https://dl.acm.org/authorize.cfm?key=N14462,ccs,2016,Yes,"We have analyzed 17 Android devices in total,",No,\
Drammer: Deterministic Rowhammer Attacks on Mobile Platforms,https://dl.acm.org/authorize.cfm?key=N14463,ccs,2016,No,Uses phones to perform a test but not techncially data,No,\
SFADiff: Automated Evasion Attacks and Fingerprinting Using Black-box Differential Automata Learning,https://dl.acm.org/authorize.cfm?key=N14464,ccs,2016,No,\,No,\
Slitheen: Perfectly Imitated Decoy Routing through Traffic Replacement,https://dl.acm.org/authorize.cfm?key=N14475,ccs,2016,Yes,"visited the Alexa top 10,000 TLS sites that support our implemented ciphersuites",No,\
Practical Censorship Evasion Leveraging Content Delivery Networks,https://dl.acm.org/authorize.cfm?key=N14476,ccs,2016,Yes,"top 10,000 Alexa websites from 20 geographically-dispersed Planetlab nodes, | all insecure edge servers of Akamai respond correctly to HTTPS requests for any of the 400 Akamai customer websites we tried",No,\
GAME OF DECOYS: Optimal Decoy Routing Through Game Theory,https://dl.acm.org/authorize.cfm?key=N14477,ccs,2016,Yes,"We use CAIDAäó»s äóìJan 2016äóù AS relationships database to model the business relationship between ASes, | We use GeLite2 geo-location database for the mapping between IP addresses and geographical locations, | We use CAIDAäó»s AS rank dataset to map between ASes and IP address ranges, also for AS sizes,  | We use the OEC10 dataset to infer the economical relationship between countries, | We use the DNS Census dataset composed of about 2.5 billion DNS records to find the domain names belonging to various censoring countries.",No,\
